fine_label	utterance
flight+airfare	show me all flights and fares from denver to san francisco
flight	i need a flight from pittsburgh to new york departing after 5 pm
flight	are there any nonstop flights leaving from dallas to baltimore july seventh with who united airlines
flight	tell me about flights from charlotte to atlanta next tuesday
flight	i would like to see all flights from denver to philadelphia
flight	show me all the twa flights from indianapolis to houston that arrive around 11 am
airfare	first class price san francisco pittsburgh round trip
flight	is there a late afternoon flight leaving washington for denver
quantity	how many flights does each airline have with business class service
airline	give me a list of airlines in pittsburgh
flight	show me the flights from san diego to newark
flight	from denver to baltimore
flight	can you show me flights from dallas to atlanta on tuesday night
unk	show me the one way flights from detroit to westchester county
flight	first i 'd like to fly from philadelphia to dallas and fly from dallas to san francisco
unk	find me the earliest boston departure and the latest atlanta return trip so that i can be on the ground the maximum amount of time in atlanta and return to boston on the same day
flight_time	please list the flight schedule from baltimore to san francisco on friday nights
flight	do you have a night flight from washington to boston on august twenty seventh
flight	which flight from pittsburgh to baltimore carries the smallest number of passengers
flight	does eastern airlines fly early in the morning between logan and bwi
flight	i 'd like a flight from washington that stops in denver and goes on to san francisco
airfare	please list fares for all the flights from atlanta to philadelphia on august the first
aircraft	does delta aircraft fly dc10
flight	show me the flights arriving at love field
flight	are there any flights from boston to san francisco which stop in washington dc
flight	give me flights from san francisco to boston on thursday afternoon
flight	show me all flights arriving at love field from other airports
flight	is there a delta flight from boston to denver
quantity	list the number of flights leaving boston for dallas fort worth before 9 am in the morning
flight	i want information on flights from atlanta to washington dc i want to leave after 4 pm on wednesday or before 9 am on thursday
ground_service	what is the ground transportation available in the city of fort worth
flight	list all flights on continental from denver to chicago which depart after 934 pm
